horas_trabajadas;masculino;edad_ingreso;colegio_publico;argentino;activo_primer_anio;activo_segundo_anio;anios_en_unlu;aprobadas_1er_anio;anios_cursados;c_promociones_1er_anio;c_libres_1er_anio;c_regulares_1er_anio;c_ausentes_1er_anio;c_noausentes_1er_anio;cursadas_ap_1er_anio;cursadas_1er_anio;cambio_universidad;cambio_carrera;progresar;fracaso_academico
0;1;18;1;1;1;1;4;2;3;2;2;2;1;6;4;7;0;1;0;0
0;1;18;1;1;1;1;3;2;3;1;0;4;0;5;5;5;0;1;1;0
0;0;17;1;1;1;0;1;1;1;1;1;2;3;4;3;7;0;0;0;0
0;1;17;0;1;1;1;4;5;3;5;3;0;0;8;5;8;0;1;1;0
0;0;17;0;1;1;0;1;0;1;0;1;2;4;3;2;7;0;0;0;0
0;1;18;0;1;1;1;4;4;3;0;3;4;0;7;4;7;0;0;0;0
0;0;18;0;1;1;1;4;12;3;12;0;0;0;12;12;12;1;0;0;0
0;0;18;0;1;1;0;1;1;1;1;0;0;3;2;1;5;0;0;0;0
0;1;18;0;1;1;1;4;8;3;8;0;0;0;8;8;8;0;0;0;0
0;0;18;1;1;1;1;4;6;3;3;1;3;1;7;6;8;0;0;1;0
0;1;19;0;1;1;1;4;6;3;4;0;3;0;7;7;7;0;0;0;0
12;0;18;1;1;1;0;1;0;1;0;1;0;4;1;0;5;0;0;0;0
30;0;19;1;1;1;1;4;8;3;5;0;3;0;8;8;8;0;0;1;0
0;0;18;0;1;1;0;3;0;3;0;0;0;4;0;0;4;0;1;0;0
0;1;18;0;1;1;1;4;5;3;0;2;5;0;8;5;8;0;0;0;0
0;0;17;1;1;1;1;4;1;3;1;3;3;3;7;4;10;0;0;0;0
0;1;18;0;1;1;1;4;7;3;3;0;6;0;10;9;10;0;0;0;0
0;1;19;1;1;1;0;1;0;1;0;4;0;0;4;0;4;0;0;0;1
0;1;19;1;1;1;1;3;1;3;0;4;1;0;5;1;5;0;0;1;1
0;0;17;0;1;1;1;4;4;3;1;1;5;0;7;6;7;0;0;1;0
0;1;18;0;1;1;1;4;1;3;1;1;2;5;4;3;9;0;0;0;0
0;0;18;0;1;1;0;1;5;1;3;1;3;1;7;6;8;0;0;0;0
0;0;20;1;1;1;0;1;0;1;0;1;0;4;1;0;5;0;0;0;0
20;1;19;1;1;1;1;3;6;3;5;1;2;0;8;7;8;0;0;1;0
46;1;27;1;1;1;1;4;2;3;1;0;1;2;2;2;4;0;0;0;0
28;0;25;1;1;1;0;3;0;3;0;0;4;0;4;4;4;0;0;0;0
45;1;34;0;1;1;1;3;4;3;4;1;1;1;6;5;7;0;0;0;0
7;1;19;1;1;1;1;2;5;2;1;1;5;0;7;6;7;0;0;0;0
0;1;22;1;1;1;1;4;3;3;1;3;2;0;6;3;6;0;0;0;0
0;1;18;0;1;1;1;4;7;3;5;0;2;0;8;7;8;0;0;0;0
0;1;17;0;1;1;0;1;0;1;0;3;0;1;4;0;5;0;0;0;1
0;1;17;0;1;1;0;1;1;1;0;0;2;1;2;2;3;0;0;0;0
0;1;18;0;1;1;1;2;3;2;1;2;3;0;7;4;7;0;0;0;0
0;1;19;0;1;1;1;2;0;2;0;4;1;0;5;1;5;0;0;0;1
4;0;26;1;1;1;0;1;0;1;0;0;0;1;0;0;1;0;0;0;0
0;0;18;1;1;1;0;1;4;1;2;1;3;3;7;5;10;1;0;0;0
5;1;23;1;1;1;1;2;0;2;0;3;0;0;4;0;4;0;0;0;1
40;0;19;0;1;1;1;2;0;2;0;3;2;3;5;2;8;0;0;1;0
16;1;26;1;1;1;1;2;0;2;0;0;0;4;0;0;4;0;1;0;0
0;0;17;1;1;1;1;2;1;2;1;1;6;0;9;7;9;1;0;0;0
0;1;22;0;1;1;1;2;2;2;2;4;1;1;7;3;8;0;0;0;0
0;0;17;0;1;1;1;3;0;3;0;4;2;0;8;2;8;0;1;1;0
30;0;20;1;1;1;0;1;0;1;0;2;0;2;2;0;4;0;0;0;0
16;1;18;0;1;1;1;4;2;3;1;3;2;3;6;3;9;0;0;1;0
0;1;18;0;1;1;1;4;2;3;0;4;2;3;7;2;10;0;0;0;0
0;0;18;1;1;1;1;4;3;3;2;1;3;1;7;5;8;0;0;1;0
0;1;18;1;1;1;0;1;0;1;0;2;0;2;2;0;4;0;0;0;0
2;0;18;1;1;1;1;4;7;3;2;1;5;0;9;7;9;0;0;0;0
5;0;19;1;1;1;0;1;0;1;0;1;1;3;2;1;5;0;0;0;0
0;0;18;0;1;1;1;4;5;3;3;2;3;2;8;6;10;0;0;1;0
0;1;18;1;1;1;1;2;2;2;1;1;1;4;4;2;8;0;1;0;0
4;0;23;0;1;1;1;4;3;3;2;1;3;1;6;5;7;0;0;0;0
45;1;22;1;1;1;1;4;3;3;1;2;3;3;6;4;9;0;1;1;0
0;0;17;1;1;1;1;4;1;3;1;4;0;1;6;1;7;0;0;1;1
24;0;23;0;1;1;1;3;3;3;2;3;1;4;6;3;10;0;0;0;0
0;1;19;1;1;1;0;1;1;1;1;3;0;1;4;1;5;0;0;0;1
42;1;19;1;1;1;1;4;8;3;6;0;2;2;8;8;10;0;0;0;0
0;0;21;0;1;1;0;1;0;1;0;0;1;3;1;1;4;0;0;0;0
0;1;19;0;1;1;1;2;0;2;0;3;0;0;5;0;5;0;0;0;1
20;1;18;0;1;1;1;4;6;3;1;0;6;0;8;7;8;0;0;0;0
6;0;28;1;1;1;1;3;4;3;2;0;4;3;6;6;9;0;0;0;0
12;1;19;1;1;1;0;1;1;1;0;4;2;4;6;2;10;0;0;0;0
6;1;19;1;1;1;1;3;5;3;2;2;3;1;7;5;8;0;0;0;0
0;1;17;0;1;1;0;1;1;1;1;1;0;2;2;1;4;0;0;0;0
0;0;18;0;1;1;1;4;8;3;7;0;1;0;8;8;8;0;0;1;0
45;1;23;0;1;1;0;1;0;1;0;0;0;5;0;0;5;0;0;0;0
0;1;17;1;1;1;1;4;2;3;1;5;1;0;7;2;7;0;0;1;1
0;1;18;1;1;1;0;1;0;1;0;2;0;1;2;0;3;0;0;0;1
20;1;26;1;1;1;1;2;4;2;3;1;3;3;7;6;10;0;0;0;0
36;0;18;0;1;1;0;1;0;1;0;0;0;4;0;0;4;0;0;0;0
0;0;18;1;1;1;0;1;0;1;0;2;2;2;4;2;6;0;0;0;0
10;0;38;1;1;1;0;1;0;1;0;1;0;2;1;0;3;0;0;0;0
0;0;19;1;1;1;1;4;0;3;0;4;2;1;6;2;7;0;1;1;1
0;1;18;0;1;1;1;4;5;3;1;0;6;0;7;7;7;0;0;0;0
0;1;17;0;1;1;1;4;7;3;5;0;2;0;7;7;7;0;0;0;0
0;1;18;0;1;1;1;3;1;3;1;3;0;0;4;1;4;0;0;0;1
0;1;17;0;1;1;0;1;0;1;0;4;0;0;4;0;4;0;0;0;1
0;0;17;0;1;1;1;4;8;3;7;0;1;1;8;8;9;0;0;0;0
0;0;17;0;1;1;1;4;9;3;8;1;0;0;9;8;9;0;0;0;0
0;0;17;0;1;1;1;4;6;3;3;0;4;0;7;7;7;0;0;0;0
0;1;23;0;1;1;1;4;8;3;3;0;4;0;7;7;7;0;0;0;0
0;0;18;0;1;1;1;3;8;3;5;0;3;1;8;8;9;0;0;0;0
0;0;19;0;1;1;0;1;0;1;0;3;0;2;3;0;5;0;0;0;1
3;0;26;1;1;1;0;1;0;1;0;4;0;1;4;0;5;0;0;0;1
8;1;27;0;1;1;1;4;7;3;6;0;1;1;7;7;8;0;0;0;0
40;1;23;1;1;1;0;1;1;1;1;2;1;1;5;2;6;0;0;0;0
